I maj -	II min -	IV maj#11 -	V dom7 -
I maj -	II min -	III minb2 -	IV maj#11 -
I maj -	II min -	I maj slashIII	IV maj#11 -
I maj -	II min -	I maj slashIII	IV minmaj7 - 
I maj -	II min -	III minb2 -	V dom7 -
I maj -	II min -	V dom7 -	IV maj#11 -
I maj -	II min -	VI minb6 -	V dom7 -
I maj -	II min -	VI minb6 -	IV maj#11 -
I maj -	II min -	I maj -	V dom7 -
I maj -	II min -	I maj -	IV maj#11 -
I maj -	II min -	II min -	V dom7 -
I maj -	IV maj#11 -	I maj - 	V dom7 -
I maj -	IV maj#11 -	IV sus -	V dom7 -
I maj -	IV maj#11 -	V minb6 - 	V dom7 -
I maj -	IV maj#11 -	V minb6 - 	II min -
I maj -	IV maj#11 -	II min -	V dom7 -
I maj -	IV maj#11 -	II min -	V dom7 -
I maj -	IV maj#11 -	III min -	IV maj#11 -
I maj -	IV maj#11 -	III minb2 -	V dom7 -
I maj -	V dom7 -	II min -	V dom7 -
I maj -	V dom7 -	II min -	II min slashV
I maj -	V dom7 -	III minb2 -	IV 7#11 -
I maj -	V dom7 -	III minb2 -	V dom7 -
I maj -	V dom7 -	IV 7#11 -	IV maj slashV
I maj -	V dom7 -	IV 7#11 -	V dom7 -
I maj -	V dom7 -	VI minb6 -	V dom7 -
I maj -	V dom7 -	VI minb6 -	IV maj#11 -
I maj -	III minb2 -	II min -	II min slashV
I maj -	III minb2 -	II min -	IV maj#11 -
I maj -	III minb2 -	VI minb6 -	V dom7 -
I maj -	III minb2 -	VI minb6 -	IV maj#11 -
I maj -	III minb2 -	VI minb6 -	II min -
I maj -	III minb2 -	IV maj#11 -	I maj -
I maj -	III minb2 -	IV maj#11 -	V 7sus -
I maj -	III minb2 -	IV maj#11 -	II min -
I maj -	III minb2 -	V dom7 -	IV maj#11 -
I maj -	III minb2 -	V dom7 -	II min -
I maj -	III minb2 -	III minb2 -	IV maj#11 -
I maj -	III minb2 -	III minb2 -	V dom7 -
I maj -	I dom7 slashIII	IV dom7 -	V dom7 -
I maj -	VI minb6 - 	III minb2 -	V dom7 -
I maj -	VI minb6 - 	III minb2 -	IV maj#11 -
I maj -	VI minb6 - 	III minb2 -	II min -
I maj -	VI minb6 - 	II min -	V dom7 -
I maj -	VI minb6 - 	II min -	IV maj#11 -
I maj -	VI minb6 - 	II min -	II min slashV
I maj -	VI minb6 - 	V dom7 -	IV maj#11 -
I maj -	VI minb6 - 	V dom7 -	II min slashV
I maj -	VI minb6 - 	IV maj#11 -	V dom7 -
I maj -	VI minb6 - 	IV maj#11 -	II min -
I maj -	VI minb6 - 	I maj -	V dom7 -
I maj -	VI minb6 - 	I maj - 	IV maj#11 -
I maj#11 -	VI min - 	III minb6 - 	V maj - 
II min - 	VI minb6 - 	I maj - 	IV maj#11 -
II min - 	I maj - 	IV maj#11 -	III minb2 -
