I minb6 -	V minb2 -	bVI maj#11 -	IV min -
I minb6 -	I minb6 -	I minb6 -	I minb6 -
I minb6 -	bVI maj#11 -	IV min -	V minb2 -
I minb6 -	bVI maj#11 /I	I minb6 -	bVI maj#11 /I
I minb6 -	bVI maj#11 -	IV min -	bII maj7#11 -
I minb6 -	bVI maj#11 -	IV min -	bII 7#11 -
IV min -	bVI maj#11 -	bVII dom7 -	I minb6 -
I minb6 -	bVI maj#11 -	bVII 7#11 -	I maj7 -
I min -	bVII maj -	I min -	V 7b913 -
I minb6 -	bVII dom7 -	VI min -	V 7alt -
I minb6 -	bIII dom7 -	bVI maj -	bII 7#11 -
I min -	II min -	I min /bIII	II minb2 /IV
I min -	V minb6 -	bVII maj -	IV dom7 -
I minb6 -	bIII maj -	bVI maj#11 -	bVII dom7 -
